date,title,neg,neu,pos,compound
2024-04-12,Dimon Warns of ‘Unsettling’ Pressures as JPMorgan Reports Earnings,0.109,0.891,0.0,-0.296
2024-04-12,BlackRock assets under management hit record $10.5tn,0.119,0.881,0.0,-0.2263
2024-04-12,Bank of England scraps fan charts in forecast overhaul,0.0,1.0,0.0,0.0
2024-04-12,"Hong Kong Bitcoin, Ether ETF Approval Expected as Soon as Monday",0.0,0.961,0.039,0.0258
2024-04-12,Immigrants in Maine Are Filling a Labor Gap. It May Be a Prelude for the U.S.,0.048,0.81,0.142,0.5499
2024-04-12,"UK economic growth, February 2024",0.106,0.728,0.166,0.2641
2024-04-12,Stock market today: Asia stocks are mostly lower after Wall St rebound led by Big Tech,0.076,0.764,0.16,0.34
2024-04-12,Rite Aid to close 53 more stores across 9 states amid bankruptcy proceedings,0.0,1.0,0.0,0.0
2024-04-12,Globe Life Inc. stocks plummet Thursday,0.129,0.871,0.0,-0.4767
2024-04-12,State Farm to end coverage in these zip codes in San Diego County,0.0,1.0,0.0,0.0
